Symbol,Name,Price,Volume
LFIN,LONGFIN CORP.,39.40,517431
CASA,CASA SYSTEMS INC.,29.88,2312000
MU,MICRON TECHNOLOGY INC.,59.37,138652000
YRD,YIRENDAI LTD.,43.64,1008000
PPDF,PPDAI GROUP INC.,8.43,1032000
ALNY,ALNYLAM PHARMACEUTICALS INC.,42.04,1337000
SFIX,STITCH FIX INC.,24.12,1420000
DXCM,DEXCOM INC.,64.09,1574000
ESPR,ESPERION THERAPEUTICS INC.,80.05,1629000
SRPT,SAREPTA THERAPEUTICS INC.,79.10,2786000
MMYT,MAKEMYTRIP LIMITED,35.75,522050
NWL,NEWELL BRANDS INC.,28.99,11235000
AVA,AVISTA CORPORATION,50.80,1717000
TSLA,TESLA INC.,45.51,8264000
RDN,RADIAN GROUP INC.,19.94,6245000
ESNT,ESSENT GROUP LTD.,42.99,2005000
MTG,MGIC INVESTMENT CORPORATION,13.36,13346000
DECK,DECKERS OUTDOOR CORPORATION,90.28,2259000
CMPR,CIMPRESS N.V.,15.81,436228
NAV,NAVISTAR INTERNATIONAL CORPORATION,34.99,1967000
GBT,GLOBAL BLOOD THERAPEUTICS INC.,54.05,1825000
MANT,MANTECH INTERNATIONAL CORPORATION,55.44,626050
WB,WEIBO CORPORATION,13.68,2538000
CVI,CVR ENERGY INC.,30.10,602435
NKTR,NEKTAR THERAPEUTICS,98.07,3092000
TPX,TEMPUR SEALY INTERNATIONAL INC.,49.12,1515000
COO,THE COOPER COMPANIES INC.,24.95,940617
MSA,MSA SAFETY INCORPORATED,83.22,297565
PBF,PBF ENERGY INC.,30.57,2075000
HCN,WELLTOWER INC.,52.22,3190000
